"Время","Плейс","Сумма завершенных сделок (USD)"
2025-03-03 03:00:00,Bee Swarm Simulator,0.300
2025-03-03 03:00:00,Fisch,0.350
2025-03-03 03:00:00,PETS GO!,11.0
2025-03-03 03:00:00,Pet Simulator 99,56.1
2025-03-03 03:00:00,SpongeBob Tower Defense,0.200
2025-03-10 03:00:00,King Legacy,0.450
2025-03-10 03:00:00,PETS GO!,2.22
2025-03-10 03:00:00,Pet Simulator 99,51.4
2025-03-10 03:00:00,SpongeBob Tower Defense,1.40
2025-03-17 03:00:00,PETS GO!,5.37
2025-03-17 03:00:00,Pet Simulator 99,43.6
2025-03-24 03:00:00,PETS GO!,2.08
2025-03-24 03:00:00,Pet Simulator 99,31.4
2025-03-24 03:00:00,SpongeBob Tower Defense,3.30
2025-03-31 03:00:00,Fisch,0.0100
2025-03-31 03:00:00,PETS GO!,3.49
2025-03-31 03:00:00,Pet Simulator 99,30.1
2025-03-31 03:00:00,Toilet Tower Defense,1
2025-04-07 03:00:00,Murder Mystery 2,3.20
2025-04-07 03:00:00,PETS GO!,1.92
2025-04-07 03:00:00,Pet Simulator 99,65.2
2025-04-14 03:00:00,Murder Mystery 2,0.350
2025-04-14 03:00:00,PETS GO!,1.31
2025-04-14 03:00:00,Pet Simulator 99,140
2025-04-14 03:00:00,RIVALS,8
2025-04-14 03:00:00,SpongeBob Tower Defense,0.250
2025-04-14 03:00:00,Toilet Tower Defense,4
2025-04-21 03:00:00,Fisch,0.180
2025-04-21 03:00:00,Murder Mystery 2,7.85
2025-04-21 03:00:00,PETS GO!,3.54
2025-04-21 03:00:00,Pet Simulator 99,42.8
2025-04-21 03:00:00,SpongeBob Tower Defense,0.0100
2025-04-28 03:00:00,Adopt Me,0.400
2025-04-28 03:00:00,Fisch,1.18
2025-04-28 03:00:00,PETS GO!,4.80
2025-04-28 03:00:00,Pet Simulator 99,116
2025-04-28 03:00:00,SpongeBob Tower Defense,9.80
2025-05-05 03:00:00,Adopt Me,6.93
2025-05-05 03:00:00,Blade Ball,0.900
2025-05-05 03:00:00,Murder Mystery 2,3
2025-05-05 03:00:00,PETS GO!,0.660
2025-05-05 03:00:00,Pet Simulator 99,70.0
2025-05-05 03:00:00,SpongeBob Tower Defense,12.6
2025-05-12 03:00:00,Adopt Me,0.440
2025-05-12 03:00:00,Bubble Gum Simulator INFINITY,1
2025-05-12 03:00:00,Dress To Impress,4.50
2025-05-12 03:00:00,Fisch,1.31
2025-05-12 03:00:00,PETS GO!,14.5
2025-05-12 03:00:00,Pet Simulator 99,84.9
2025-05-19 03:00:00,Adopt Me,10.6
2025-05-19 03:00:00,Bubble Gum Simulator INFINITY,0.0600
2025-05-19 03:00:00,Fisch,0.250
2025-05-19 03:00:00,Murder Mystery 2,1.20
2025-05-19 03:00:00,PETS GO!,1.11
2025-05-19 03:00:00,Pet Simulator 99,14.9
2025-05-19 03:00:00,ROBUX,10
2025-05-26 03:00:00,Adopt Me,19.3
2025-05-26 03:00:00,Grow a Garden,11.3
2025-05-26 03:00:00,PETS GO!,0.0900
2025-05-26 03:00:00,Pet Simulator 99,14.7
2025-05-26 03:00:00,SpongeBob Tower Defense,3.72
2025-06-02 03:00:00,Bubble Gum Simulator INFINITY,1
2025-06-02 03:00:00,Grow a Garden,32.5
2025-06-02 03:00:00,PETS GO!,0.180
2025-06-02 03:00:00,Pet Simulator 99,72.6
2025-06-09 03:00:00,Grow a Garden,15.3
2025-06-09 03:00:00,PETS GO!,1.76
2025-06-09 03:00:00,Pet Simulator 99,8.35
2025-06-09 03:00:00,SpongeBob Tower Defense,12.2
