"Время","Продавец","Сумма завершенных сделок (USD)"
2025-03-03 03:00:00,Artur Tv,7.63
2025-03-03 03:00:00,Nonebones,0.850
2025-03-03 03:00:00,PetSeller,8.35
2025-03-03 03:00:00,Tensh_ae,30
2025-03-03 03:00:00,Top_SellerRB,21.1
2025-03-10 03:00:00,Artur Tv,23.3
2025-03-10 03:00:00,Nonebones,1.85
2025-03-10 03:00:00,PetSeller,0.800
2025-03-10 03:00:00,protatip3000,2.10
2025-03-10 03:00:00,Tensh_ae,20
2025-03-10 03:00:00,Top_SellerRB,7.37
2025-03-17 03:00:00,Artur Tv,42.3
2025-03-17 03:00:00,PetSeller,4.70
2025-03-17 03:00:00,Top_SellerRB,2.01
2025-03-24 03:00:00,Artur Tv,23.8
2025-03-24 03:00:00,Hasbala,5
2025-03-24 03:00:00,Nonebones,3.30
2025-03-24 03:00:00,PetSeller,2.70
2025-03-24 03:00:00,Top_SellerRB,2.03
2025-03-31 03:00:00,Artur Tv,16.1
2025-03-31 03:00:00,BestSeller,1
2025-03-31 03:00:00,clapsik,0.0200
2025-03-31 03:00:00,Roman,0.0100
2025-03-31 03:00:00,sellshop,15.5
2025-03-31 03:00:00,Top_SellerRB,2
2025-04-07 03:00:00,Artur Tv,45.3
2025-04-07 03:00:00,Hasbala,6
2025-04-07 03:00:00,Nonebones,2.20
2025-04-07 03:00:00,Olexii Ishchenko,1
2025-04-07 03:00:00,p_o_k_i_c_h,0.540
2025-04-07 03:00:00,sellshop,8.32
2025-04-07 03:00:00,Tensh_ae,3.72
2025-04-07 03:00:00,Top_SellerRB,3.20
2025-04-14 03:00:00,Artur Tv,62.1
2025-04-14 03:00:00,clapsik,0.480
2025-04-14 03:00:00,confid,4
2025-04-14 03:00:00,feru1221,48.7
2025-04-14 03:00:00,Fluks,0.240
2025-04-14 03:00:00,fortemol,0.330
2025-04-14 03:00:00,KingPets,14.4
2025-04-14 03:00:00,Nonebones,8.60
2025-04-14 03:00:00,PetSeller,11.3
2025-04-14 03:00:00,p_o_k_i_c_h,1
2025-04-14 03:00:00,sellshop,0.870
2025-04-14 03:00:00,Tensh_ae,1.28
2025-04-14 03:00:00,Top_SellerRB,0.400
2025-04-14 03:00:00,Unknown ,0.170
2025-04-21 03:00:00,Artur Tv,17.8
2025-04-21 03:00:00,Carma,0.900
2025-04-21 03:00:00,clapsik,0.500
2025-04-21 03:00:00,feru1221,8.08
2025-04-21 03:00:00,fortemol,0.200
2025-04-21 03:00:00,KingPets,13.3
2025-04-21 03:00:00,Nonebones,10.1
2025-04-21 03:00:00,p_o_k_i_c_h,1.28
2025-04-21 03:00:00,WestonShop,2.22
2025-04-28 03:00:00,Artur Tv,82.5
2025-04-28 03:00:00,dark qwerty,2.85
2025-04-28 03:00:00,dpavel5,0.200
2025-04-28 03:00:00,feru1221,19.1
2025-04-28 03:00:00,fortemol,0.0900
2025-04-28 03:00:00,Hasbala,0.0600
2025-04-28 03:00:00,Kevinmane,3.70
2025-04-28 03:00:00,Nonebones,15.9
2025-04-28 03:00:00,p_o_k_i_c_h,0.430
2025-04-28 03:00:00,protatip3000,2
2025-04-28 03:00:00,sellshop,3.90
2025-04-28 03:00:00,Top_SellerRB,1.19
2025-05-05 03:00:00,Artur Tv,25.7
2025-05-05 03:00:00,Carma,0.470
2025-05-05 03:00:00,dark qwerty,1.06
2025-05-05 03:00:00,feru1221,17.4
2025-05-05 03:00:00,Kevinmane,21.7
2025-05-05 03:00:00,ninja,3
2025-05-05 03:00:00,Nonebones,24.2
2025-05-05 03:00:00,p_o_k_i_c_h,0.470
2025-05-05 03:00:00,Timepoc,0.0500
2025-05-12 03:00:00,Artur Tv,76.4
2025-05-12 03:00:00,dark qwerty,5.57
2025-05-12 03:00:00,fortemol,0.360
2025-05-12 03:00:00,Kevinmane,3.89
2025-05-12 03:00:00,ninja,0.670
2025-05-12 03:00:00,Nonebones,19.7
2025-05-12 03:00:00,p_o_k_i_c_h,0.0400
2025-05-19 03:00:00,Artur Tv,13.2
2025-05-19 03:00:00,ninja,10
2025-05-19 03:00:00,Nonebones,13.2
2025-05-19 03:00:00,Заяц сумасшедший,1.68
2025-05-26 03:00:00,Artur Tv,10.8
2025-05-26 03:00:00,feru1221,0.0900
2025-05-26 03:00:00,Kevinmane,4.80
2025-05-26 03:00:00,Nonebones,23.1
2025-05-26 03:00:00,SWIseller,6.50
2025-05-26 03:00:00,Заяц сумасшедший,3.82
2025-06-02 03:00:00,Artur Tv,95.8
2025-06-02 03:00:00,feru1221,1.30
2025-06-02 03:00:00,Kevinmane,0.900
2025-06-02 03:00:00,namiko,4
2025-06-02 03:00:00,Nonebones,1.18
2025-06-02 03:00:00,p_o_k_i_c_h,0.200
2025-06-02 03:00:00,Top_SellerRB,0.800
2025-06-02 03:00:00,Заяц сумасшедший,2.08
2025-06-09 03:00:00,Artur Tv,21.4
2025-06-09 03:00:00,Elisey,1
2025-06-09 03:00:00,Nonebones,15.2
